Name,Handed,IP,SO,R,HR,BB,HBP,BK,WP,PPp9_calculated
Gerrit Cole,RIGHT,200.2,257,81,33,50,2,2,2,0.6393606393606394
Jameson Taillon,RIGHT,177.1,151,78,26,32,5,0,3,0.6437041219649916
Nestor Cortes,LEFT,158.1,163,44,16,38,2,0,1,0.4443390259329538
Jordan Montgomery,LEFT,114.2,97,48,15,23,7,0,3,0.6239054290718038
Luis Severino,RIGHT,102,112,37,14,30,4,0,1,0.5857843137254902
Domingo GermÃ¡n,RIGHT,72.1,58,31,11,19,4,1,0,0.665742024965326
Clay Holmes,RIGHT,63.2,65,21,2,20,9,0,1,0.4825949367088607
Lucas Luetge,LEFT,57.1,60,19,4,17,4,0,1,0.4991243432574431
Wandy Peralta,LEFT,56.1,47,19,2,17,1,1,2,0.4679144385026738
Jonathan LoÃ¡isiga,RIGHT,48,37,25,3,19,0,0,0,0.6822916666666666
Aroldis Chapman,LEFT,36.1,43,18,4,28,1,0,6,0.8518005540166205
Clarke Schmidt,RIGHT,57.2,56,23,5,23,2,0,0,0.5987762237762237
Michael King,RIGHT,51,66,15,3,16,0,0,2,0.4411764705882353
Ron Marinaccio,RIGHT,44,56,12,2,24,6,0,5,0.5170454545454546
Frankie Montas,RIGHT,39.2,33,28,6,15,5,0,3,1.0140306122448979
Miguel Castro,RIGHT,29,31,16,2,15,4,0,2,0.8017241379310345
Albert Abreu,RIGHT,25.2,26,10,2,6,1,0,5,0.5952380952380952
JP Sears,LEFT,22,15,5,1,5,1,0,0,0.3409090909090909
Lou Trivino,RIGHT,21.2,22,6,1,10,2,0,1,0.4834905660377359
Chad Green,RIGHT,15,16,6,1,5,0,0,0,0.55
Scott Effross,RIGHT,12.2,12,4,1,4,1,0,0,0.5122950819672132
Greg Weissert,RIGHT,11.1,11,7,1,5,2,1,0,0.9009009009009009
Ryan Weber,RIGHT,10.2,3,1,1,1,0,0,0,0.22058823529411767
Manny Banuelos,LEFT,8.1,8,2,0,3,0,0,0,0.3395061728395062
Chi Chi GonzÃ¡lez,RIGHT,4.2,3,1,0,3,0,0,0,0.41666666666666663
Luis Gil,RIGHT,4,5,4,0,2,0,0,1,1.1875
David McKay,RIGHT,2,1,0,0,2,0,0,0,0.25
Jacob Barnes,RIGHT,1.2,2,0,0,0,1,0,0,0.20833333333333334
Luke Bard,RIGHT,1,0,0,0,0,0,0,0,0.0
Shane Greene,RIGHT,1,1,2,1,1,0,0,0,3.25
Zack Britton,LEFT,0.2,1,1,0,6,0,0,1,13.75
Anthony Banda,LEFT,0.2,1,3,0,5,1,0,0,22.5
Marwin Gonzalez,RIGHT,0.1,0,0,0,0,0,0,0,0.0
Team Totals,RIGHT,1451.2,1459,567,157,444,65,5,40,0.5943357221609702
